country,country_iso,core_city,uc_id,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,elev_res_mean,grade_mean,grade_median,intersect_count,intersect_count_clean,k_avg,length_mean,length_median,m,n,orientation_entropy,orientation_order,prop_4way,prop_3way,prop_deadend,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area,night_light_em,gdp_ppp,un_income_class,un_dev_group,transport_co2_em_fossil,transport_co2_em_bio,transport_pm25_em,pm25_concentration,climate_classes,avg_elevation,avg_precipitation,avg_temperature,land_use_efficiency,pct_open_space,centroid_lat,centroid_lng
afghanistan,AFG,bagram,6119,1.0968137636981337,8.990000000000009,1487.4138636363634,1490.115,33.470000000000034,6.441547607981869,152.69999999999987,0.0075692789968652,0.0054,188,167,2.4166666666666665,223.4131849529781,116.90100000000001,319,264,3.4549335151343685,0.1136187012745119,0.07575757575757576,0.6287878787878788,0.2878787878787879,0.9117318118148828,Bagram,Asia,South-Central Asia,93637,17.0,2.70386791229,66.242406032,89047952,LIC,LDCL,1983.42258158513,,1.06286431216535,32.7134,"Mild temperate with dry summer, and  Hot summer",1481.52886091,681.100006104,10.2716553211,1.678,100.0,34.9387936169,69.2579603828
afghanistan,AFG,chaman,6091,1.033711849551595,40.35250000000017,1336.264513184583,1334.665,213.82000000000016,35.610627456334385,152.6999999999997,0.015927507374631257,0.015,825,742,2.7505070993914806,134.09635766961654,85.2875,1356,986,3.1090977780638425,0.3852160054399676,0.12474645030425965,0.7079107505070994,0.16328600405679514,0.9673875755935096,Chaman,Asia,South-Central Asia,165834,29.0,1.54692709446,0.20461802313,48689736,LIC,LDCL,2616.33286400912,,3.44095204865241,34.18355,"Desert (arid), and  Hot arid",1349.39314628,161.050004959,18.9600424767,6.5692,94.66,30.9242051326,66.4580176114
afghanistan,AFG,charikar,6113,1.022614365669058,35.25500000000011,1578.7491040462407,1572.455,188.27,29.172418134492375,152.7000000000003,0.035036889460154236,0.03115,937,859,2.998073217726397,110.05719151670948,75.6705,1556,1038,2.937204303381089,0.5017764364730788,0.2832369942196532,0.6184971098265896,0.09730250481695568,0.9778857344192868,Charikar,Asia,South-Central Asia,177152,12.0,1.17568802834,3.4987554351,17440238,LIC,LDCL,1771.16506525369,,1.01104444908142,33.72805,"Mild temperate with dry summer, and  Hot summer",1573.79724217,711.850006104,5.57782936096,2.0213,90.17,35.018415403,69.1708603336
afghanistan,AFG,farah,5973,1.022586740598517,4.2025000000001,661.1564610389613,660.0,40.569999999999936,6.006668798678358,152.69999999999828,0.009128225806451607,0.0061,532,481,2.8181818181818183,161.27116820276476,100.3385,868,616,3.1042558110791134,0.38866687006404943,0.17857142857142858,0.6834415584415584,0.13636363636363635,0.9779121518969656,Farah,Asia,South-Central Asia,122843,16.0,3.88859200478,0.5672590602199999,36299188,LIC,LDCL,687.433686086497,,0.419606479164837,38.93645,"Desert (arid), and  Hot arid",661.033678665,136.375003815,21.1800699234,0.4465,75.69,32.3738751539,62.1058421989
afghanistan,AFG,guzarah,5964,1.0161278462703458,18.639999999999983,980.5650177935942,981.34,73.17999999999995,14.670529743199827,152.6999999999997,0.008434306569343065,0.0077,257,233,2.925266903914591,259.66244768856444,218.55700000000002,411,281,1.8934870266930282,0.9467159738391104,0.2846975088967972,0.6298932384341637,0.08540925266903915,0.9841281327644524,Guzarah,Asia,South-Central Asia,160204,16.0,1.7531639337499998,4.2966365963,8915503,LIC,LDCL,3523.37154229553,,1.03669193309032,32.6938,"Steppe (semi-arid), and  Cold arid",974.156113394,224.375007629,16.5273120403,1.5075,89.06,34.2180927537,62.2184282758
afghanistan,AFG,herat,5959,1.038256725746192,13.607500000000071,933.4651175406883,931.06,88.28999999999996,10.827061322013876,152.69999999999598,0.008857454421536891,0.0066,3445,2859,2.653254972875226,114.80525609132731,78.89399999999998,5869,4424,3.281821633292252,0.2557631357646266,0.12884267631103075,0.6478300180831826,0.22129294755877035,0.9631529227815048,Herat,Asia,South-Central Asia,844574,60.0,12.8935127258,6.5769063671,149267200,LIC,LDCL,26675.5314241878,,18.9214118457567,37.6754,"Steppe (semi-arid), and  Cold arid",941.337123648,224.375007629,16.5273120403,0.30559,78.52,34.3457396618,62.209321932
afghanistan,AFG,injerak,6120,1.021462444234931,56.595000000000255,1952.7237375964678,1944.17,259.52,48.23662834046786,152.70000000000516,0.047234138856923714,0.0298,1541,1400,2.8743109151047412,113.71236095128485,70.132,2607,1814,3.4397060525110037,0.12662015726353815,0.2420066152149945,0.6063947078280044,0.15049614112458656,0.9789885136197972,Injerak,Asia,South-Central Asia,83888,15.0,1.7036870718000001,5.8906570594000005,27558154,LIC,LDCL,8029.76909046887,,4.89194665486332,31.2456,"Mild temperate with dry summer, and  Warm summer",1950.42921592,681.100006104,10.2716553211,2.1614,100.0,34.5956658789,69.0805877501
afghanistan,AFG,jalalabad,6150,1.0581072421856386,20.31499999999994,571.6812264618408,570.5,81.82000000000005,14.671551330580327,152.70000000000005,0.012713601781406578,0.0096,3180,2863,2.6704658077304257,118.81664501762873,80.061,5389,4036,3.4886855992473413,0.08445819548590061,0.14073339940535184,0.6459365708622399,0.21209117938553024,0.945083787475444,Jalalabad,Asia,South-Central Asia,417827,58.0,7.62432956696,3.4718742256,506223488,LIC,LDCL,23343.0212626721,,16.8502501060199,37.57435,"Desert (arid), and  Hot arid",572.092712788,947.650009155,14.9207754135,0.64395,100.0,34.4305240349,70.4526678589
afghanistan,AFG,kabul,6118,1.0369258351013035,60.960000000000036,1830.082976670688,1816.83,339.6300000000001,46.38956214030185,152.70000000006112,0.02317654608016355,0.0102,18883,16071,2.6829957998918785,107.60218171673029,71.59100000000002,32259,24047,3.4944566764318314,0.07942496078930418,0.12471410155112905,0.6563396681498732,0.21474612217740247,0.9643891261541421,Kabul,Asia,South-Central Asia,4381842,321.0,108.66116333,10.943690341,5759799296,LIC,LDCL,411075.344612141,,208.922322517373,31.54665,"Steppe (semi-arid), and  Cold arid",1844.85915961,681.100006104,10.2716553211,0.21184,66.15,34.5232188276,69.1566009692
afghanistan,AFG,kandahar,6056,1.0289520084451875,16.82249999999999,1010.8315821000721,1011.28,63.650000000000105,11.874576468285241,152.7000000000075,0.010343578456758205,0.0072,2250,1982,2.7216349541930938,160.80802071465544,107.498,3862,2838,3.2662628571613483,0.2679306124658085,0.19767441860465115,0.5930232558139535,0.2071881606765328,0.9718626250713712,Kandahar,Asia,South-Central Asia,605625,67.0,13.1251220703,2.4754964673,718893568,LIC,LDCL,16137.5623638295,,12.2277337964126,31.7472,"Desert (arid), and  Hot arid",1007.68682447,170.475002289,17.9634237289,0.8138,80.4,31.6142280407,65.7249926235
